देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
शुद्धिदर्पण	śuddhidarpaṇa	"m. +"					
शुनासीरीय	śunāsīrīya	f.n.adj.					
शुभगाभीरी	śubhagābhīrī	"f. +"					
शुभय्	śubhay	"Verb.cl.10.A. +"	"     4"	+	2/2	+	
शुभ्रदन्ती	śubhradantī	"f. +"	"     1"		1/1	+	
शुशुभ्	śuśubh	"Int.A. +"	"    18"	+	4/5	+	
शून्यकर्ण	śūnyakarṇa	"m. +"					
शूलवत्	śūlavat	"adj. +"	"     5"		4/4	+	
शूलाग्र	śūlāgra	n.m.f.n.adj.Verb.					
शृंगिः	śṛṁgiḥ	m.					
शृङ्गवेर	śṛṅgavera	"mn. +"	"   112"	+	5/27	+	
शृतंकृत	śṛtaṁkṛta	"adj. +"	"     2"		2/1	+	
शोक	śoka	"adj.m. * +"	"  1782"	+	7/87	+	
शोथवत्	śothavat	"adj. +"	"     2"		1/1	+	
शोथारि	śothāri	"m. +"					
शोधक	śodhaka	"m.n.adj. * +"	"    28"	+	4/6	+	
शोफहृत	śophahṛta	m.					
शोभक	śobhaka	"m.adj. +"					
शोभनकः	śobhanakaḥ	m.					
शै	śai	"Verb. cl. ("					
श्नप्त्र	śnaptra	"n. +"					
श्मशानवेताल	śmaśānavetāla	"m. +"					
श्मसि	śmasi	n.					
श्यामपत्रः	śyāmapatraḥ	m.					
श्यावदन्तता	śyāvadantatā	"f. +"	"     2"		2/2	+	
श्येनपत्त्वन्	śyenapattvan	m.					
श्येनपाता	śyenapātā	"f. +"	"     5"	+	1/1	+	
श्येनाख्य	śyenākhya	"m. +"					
श्येनाभृत	śyenābhṛta	"adj. +"					
श्रद्ध	śraddha	"adj. +"	"     2"		2/2	+	
श्रद्धाकृत	śraddhākṛta	m.f.n.					
श्राद्धतत्त्व	śrāddhatattva	"n. +"					
श्रावस्त	śrāvasta	"m. * +"	"     7"	+	3/4	+	
श्रियंमन्य	śriyaṁmanya	m.					
श्रीमल्लकर्णि	śrīmallakarṇi	"m. +"					
श्रीवत्	śrīvat	"adj. +"					
श्रीवत्स	śrīvatsa	"m. +"	"    83"		3/20	+	
श्रीवद	śrīvada	"m. +"					
श्रीवसुक्र	śrīvasukra	"m. +"					
श्रीवह	śrīvaha	"m. +"	"     1"	+	1/1	+	
श्रुतंधर	śrutaṁdhara	"m. +"					
श्रुतर्व	śrutarva	m.					
श्रुतवृत्त	śrutavṛtta	n.m.f.n.					
श्रुतिमूल	śrutimūla	"n. +"					
श्रुतिसारपञ्चरत्न	śrutisārapañcaratna	m.n.					
श्रुतिसुख	śrutisukha	m.f.n.					
श्रुष्	śruṣ	"Verb.cl.1.A. +"	"     5"	+	1/1	+	
श्रुष्टि	śruṣṭi	"f. +"	"    27"	+	1/1	+	
श्रेटी	śreṭī	"f. +"					
श्रेणीबन्ध	śreṇībandha	"m. +"					
श्रेयी	śreyī	f.					
श्लीपदापहः	ślīpadāpahaḥ	m.					
श्वल्क्	śvalk	"Verb. cl.10Verb."					
श्वव्याघ्र	śvavyāghra	"m. +"					
श्वसनरन्ध्र	śvasanarandhra	"n. +"					
श्वसृप	śvasṛpa	"m. +"	"     2"	+	1/1	+	
श्वाविल्	śvāvil	Noun					
श्वेतगुणवन्त्	śvetaguṇavant	adj.					
श्वेतघण्टी	śvetaghaṇṭī	f.					
संकुच्	saṁkuc	Noun					
संकेतक	saṁketaka	"mn. +"	"     4"	+	3/3	+	
संख्यासमापन	saṁkhyāsamāpana	"m. +"	"     1"	+	1/1	+	
संगतिन्	saṁgatin	"adj. +"					
संगरक्स्कम	saṁgarakskama	m.f.n.					
संग्रहीतर्	saṁgrahītar	m.					
संग्रामपाल	saṁgrāmapāla	"m. +"					
संघानन्द	saṁghānanda	m.					
संघाराम	saṁghārāma	"m. +"					
संचकान	saṁcakāna	m.					
संचरिष्णु	saṁcariṣṇu	"adj. +"					
संचिन्त्य	saṁcintya	m.f.n.adj.ind.					
संचेय	saṁceya	"adj. +"					
संजुघुक्षु	saṁjughukṣu	"adj. +"					
संज्ञानम्	saṁjñānam	Partic.					
संज्ञानम्	saṁjñānam	Partic.					
संतः	saṁtaḥ	m.					
संत्यज्	saṁtyaj	"Verb.cl.1.A. +"	"   210"	+	6/39	+	
संदर्शक	saṁdarśaka	"adj. +"	"     1"		1/1	+	
संदेहिन्	saṁdehin	"adj. +"					
संधिला	saṁdhilā	"f. +"					
संनद्धकवच	saṁnaddhakavaca	m.f.n.					
संपद्	saṁpad	f.n.adj.Verb.					
संप्रवेधय्	saṁpravedhay	"Verb.cl.10.A. +"	"     1"	+	1/1	+	
संयमनी	saṁyamanī	"f. +"	"    10"		3/6	+	
संयुक्तः	saṁyuktaḥ	m.					
संरागः	saṁrāgaḥ	m.					
संवत्	saṁvat	"f.adj. +"	"     5"	+	1/2	+	
संवत्सररूप	saṁvatsararūpa	"n. +"					
संवर्जनम्	saṁvarjanam	Partic.					
संवादिन्	saṁvādin	"adj. +"	"    12"		3/8	+	
संविज्ञान	saṁvijñāna	n.					
संविद्	saṁvid	"f.f.Verb.cl.2.A.Verb.cl.6.A. * +"	"   560"	+	7/64	+	
संव्यव्यवहारिक	saṁvyavyavahārika	m.					
संश्रद्धा	saṁśraddhā	"Verb.cl.3.A. +"	"     1"		1/1	+	
संश्रद्धू	saṁśraddhū	ind.					
संसनिष्यदत्	saṁsaniṣyadat	"m. +"	"     1"		6/30/1	+	
संसर्ग	saṁsarga	"adj.m. * +"	"   243"	+	6/53	+	
संसह	saṁsaha	"adj. +"	"     2"	+	1/1	+	
संस्तम्भ	saṁstambha	"m. * +"	"     6"		3/6	+	
संहततल	saṁhatatala	m.					
संहारवेगवत्	saṁhāravegavat	m.f.n.					
संहि	saṁhi	"Verb.cl.5.P. +"		+			
संहृष्टरोमन्	saṁhṛṣṭaroman	m.f.n.					
संह्रादः	saṁhrādaḥ	m.					
सक्तु	saktu	"m. * +"	"   175"		6/35	+	
सङ्ख्यान	saṅkhyāna	"n. *"					
सङ्गगुप्तसूनु	saṅgaguptasūnu	"m. +"					
सच	saca	"adj. +"	"     3"	+	1/1	+	
सञ्जः	sañjaḥ	m.					
सचेतस्	sacetas	"adj. * +"	"    21"	+	4/6	+	
सचेतस्	sacetas	"adj. * +"	"    21"	+	4/6	+	
सट्वा	saṭvā	"f. +"					
सच्चरित्र	saccaritra	"n.adj. +"					
सतत	satata	"adj. * +"	"   125"	+	5/41	+	
सत्त्रगृह	sattragṛha	"n. +"					
सत्त्रासाहीय	sattrāsāhīya	"n. +"	"     5"	+	2/1	+	
सत्त्वशील	sattvaśīla	"adj.m. +"					
सत्यतपस्	satyatapas	"m. +"	"     5"	+	3/7/1	+	
सत्यमूल	satyamūla	m.					
सत्यवाक्	satyavāk	f.					
सत्रासह्	satrāsah	adj.					
सत्वन्त्	satvant	"m. +"					
सत्वररचनम्	satvararacanam	ind.					
सत्ववन्त्	satvavant	m.					
सत्संग्रह	satsaṁgraha	m.f.n.					
सदस्य	sadasya	"m. * +"	"    75"	+	6/15	+	
सदानन	sadānana	m.f.n.adj.					
सद्गति	sadgati	m.f.n.Verb.					
