देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
अतत्त्वार्थवन्त्	atattvārthavant	m.					
अतनवत्	atanavat	m.					
अतनवन्त्	atanavant	"m. +"					
अतिबलवन्त्	atibalavant	m.					
अतिभृत्	atibhṛt	m.					
अतिमतिमत्	atimatimat	m.					
अतिवीर्यवन्त्	ativīryavant	m.					
अतुदन्त्	atudant	m.					
अतृप्णुवत्	atṛpṇuvat	m.f.n.					
अतृष्यत्	atṛṣyat	m.f.n.					
अत्यश्नत्	atyaśnat	m.f.n.					
अत्यश्नन्त्	atyaśnant	m.					
अत्वरन्त्	atvarant	m.					
अदण्डयन्त्	adaṇḍayant	m.					
अदत्	adat	"m.f.n. *"					
अदर्शयन्त्	adarśayant	m.					
अदृप्यत्	adṛpyat	m.f.n.					
अदेवयत्	adevayat	m.f.n.					
अदोषवन्त्	adoṣavant	m.					
अद्यौत्	adyaut	m.					
अधरत्तात्	adharattāt	m.					
अधिकरूपवत्	adhikarūpavat	m.					
अधिकर्मकृत्	adhikarmakṛt	"m. +"	"     1"	+	1/1	+	
अधिक्षित्	adhikṣit	"m. +"	"     1"	+	1/1	+	
अधीयत्	adhīyat	m.f.n.					
अध्वगत्	adhvagat	m.adj.					
अध्वयन्त्	adhvayant	m.					
अध्वरकृत्	adhvarakṛt	"m. +"					
अनंतवत्	anaṁtavat	m.					
अनङ्गासुहृत्	anaṅgāsuhṛt	m.					
अनधीयन्त्	anadhīyant	m.					
अननुतिष्ठत्	ananutiṣṭhat	m.					
अनन्तजित्	anantajit	"m. +"	"     1"		1/1	+	
अनन्ततीर्थकृत्	anantatīrthakṛt	"m. +"	"     1"		1/1	+	
अनन्ततीर्थक्लत्	anantatīrthaklat	m.					
अनन्तवन्त्	anantavant	"m. +"	"     3"	+	1/1	+	
अनन्विष्यत्	ananviṣyat	m.					
अनन्विष्यन्त्	ananviṣyant	m.					
अनपराजित्	anaparājit	"m. +"	"     1"		1/1	+	
अनपव्ययत्	anapavyayat	m.f.n.					
अनपस्फुरत्	anapasphurat	m.					
अनर्हन्त्	anarhant	m.					
अनवग्लायत्	anavaglāyat	m.f.n.					
अनवलोकयन्त्	anavalokayant	m.					
अनवस्यत्	anavasyat	m.f.n.					
अनवानत्	anavānat	m.f.n.					
अनश्नत्	anaśnat	m.f.n.					
अनागच्छन्त्	anāgacchant	m.					
अनागमिष्यत्	anāgamiṣyat	m.f.n.					
अनाचान्त	anācānta	"adj. +"	"     1"		1/1	+	
अनाचारः	anācāraḥ	m.					
अनातिष्ठन्त्	anātiṣṭhant	m.					
अनाप्नुवत्	anāpnuvat	m.					
अनामयत्	anāmayat	m.f.n.ind.					
अनासादयन्त्	anāsādayant	m.					
अनिःसरत्	aniḥsarat	m.					
अनिङ्गयत्	aniṅgayat	m.f.n.					
अनिच्छमान	anicchamāna	"adj. +"	"     2"		1/1	+	
अनिदित्	anidit	m.					
अनिमिषत्	animiṣat	m.f.n.					
अनिमिषन्त्	animiṣant	"m. +"	"     1"	+	1/1	+	
अनिर्यातयन्त्	aniryātayant	m.					
अनिलहृत्	anilahṛt	m.f.n.					
अनुकीर्त्	anukīrt	m.					
अनुगुणवन्त्	anuguṇavant	m.					
अनुचिन्तन	anucintana	"n. +"	"     1"	+	1/1	+	
अनुच्चार	anuccāra	"m. +"	"     1"	+	1/1	+	
अनुच्छिन्न	anucchinna	"adj. +"					
अनुदात्तेत्	anudāttet	m.					
अनुद्वेजयन्त्	anudvejayant	m.					
अनुनिवृत्	anunivṛt	m.					
अनुपघ्नन्त्	anupaghnant	m.					
अनुपयन्त्	anupayant	m.					
अनुपालयत्	anupālayat	m.f.n.					
अनुबध्नत्	anubadhnat	m.f.n.					
अनुमरिष्यत्	anumariṣyat	m.f.n.					
अनुयोगकृत्	anuyogakṛt	"m. +"	"     1"		1/1	+	
अनुवाक्यवत्	anuvākyavat	m.f.n.					
अनुविचिन्त्	anuvicint	m.					
अनुसंचिन्त्	anusaṁcint	m.					
अनुहरत्	anuharat	m.m.f.n.					
अनुहरन्त्	anuharant	m.					
अनेककृत्	anekakṛt	"m. +"					
अनेडमूकः	aneḍamūkaḥ	m.					
अन्तकृत्	antakṛt	"adj.m. * +"	"    15"	+	4/10	+	
अन्तरिक्षक्षित्	antarikṣakṣit	m.f.n.					
अन्तरिक्षप्रुत्	antarikṣaprut	m.f.n.adj.					
अन्तर्वसत्	antarvasat	m.f.n.					
अन्तेवसत्	antevasat	m.					
अन्धकासुहृत्	andhakāsuhṛt	m.					
अन्धवत्	andhavat	m.					
अन्नियत्	anniyat	m.f.n.					
अन्यतोदत्	anyatodat	m.f.n.					
अन्यभृत्	anyabhṛt	"m. +"					
अन्वर्त्	anvart	m.					
अपांनपात्	apāṁnapāt	m.					
अपापकृत्	apāpakṛt	m.f.n.adj.					
अपारयत्	apārayat	m.f.n.					
अपारयन्त्	apārayant	m.					
अपास्यत्	apāsyat	m.f.n.					
