akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
vā	vavau vāti vānti vavuḥ vātu vāhi vāntu vāyuḥ vāta vāna vāmi vātaḥ vāva vāyati vātum vāyat vātha vāsyati vāyante vāyataḥ vāyanti vāyeyuḥ vānt 
vācay	vācayitvā vācayet vācayiṣyanti vācayiṣyati vācya vācayat vācayitavya vācyamāna vācya vācayati vācayāmāsa vācayitum vācita vācyatām vācayanti avācayat vācyate vācayīta vācayat vācaya vācayāmāsuḥ vācayethāḥ vācayiṣyate vācayiṣyat 
vāñch	vāñchita vāñchati vāñchanti vāñchat vāñchasi vāñcha vāñchantu vāñchet vāñche vāñchate vāñchāmi vāñchataḥ vāñchatha vāñchyate vāñcheta vāñcheran vāñchase vāñchāmahe avāñchīt 
vātay	vātaya vātayati vātayāmasi 
vāday	vādayat vādayet vādyamāna avādayan avādayat vādita vādayanti avādyanta avādayanta vādayāmāsuḥ vādayati vādyante vādayāmi avādayam vādyate vādanīya vādayiṣyāmaḥ vādayate vādayeta avādayata vādayāmāsa vādyanta vādyatām vādyantām vādayitā vādya vādayitum vādayamāna 
vāpay	vāpayet vāpita vāpya vāpayitvā vāpanīya vāpayate vāpayanti vāpayiṣyanti vāpayā vāpayāmasi vāpayiṣyante vāpayitum 
vāray	vārayāmāsa vārita avārayat vāryamāṇa vārayitum vārayet avārayan vārayat vāryate vārayitvā vārya vāraya vārayati vāryatām vārayanti vārayiṣyāmi vārayāmāsuḥ vāraye vārayiṣyati vārayate avārayata vārayiṣyate vārayāmi vāryante avārayam vārayante avārayanta vārayātai vārayitavya vārayāmāsatuḥ vārayāmahe vārayasva vāritavat vārayeyam vārayeyuḥ vārayatu avārayaḥ avārayatām vārayiṣyasi vārayiṣyathaḥ vārayiṣyataḥ vārayiṣyatha vārayiṣyanti avāryanta avārayiṣyam avārayiṣyaḥ avārayiṣyan avārayethām vārayadhvam vārayiṣye vārya vārayāṇa 
vāvad	vāvadat vāvadīti vāvadītu 
vāś	vāśat vāvaśāna vavāśire avīvaśat avāvaśanta vāśyat vāśamāna vāśyate vāśyeta vāśati vāśate vāvaśanta vāśita vāśyate vāśanti avīvaśanta avāvaśītām vāśyet avīvaśan vāvaśre 
vāsay	vāsita vāsayet vāsayet vāsayitvā vāsita vāsayāmasi vāsaya vāsayeta vāsayitum vāsayanti avāsayat vāsayiṣyati vāsayethāḥ vāsayitavya vāsayati vāsayate vāsayat vāsaya avāsayat vāsayiṣyase vāsayasi vāsayati vāsayanti vāsayata avāsayam avāsayaḥ vāsayiṣyāmi vāsayāmāsa vāsayadhvam vāsayāmi vāsayeyam vāsayeḥ vāsaya vāsayatu vāsayāmāsa vāsyate vāsyamāna avāsayaḥ avāsayat avāsayan vāsayat vāsayathaḥ vāsayaḥ vāsaya vāsya vāsayat 
vāhay	vāhayet vāhya vāhayat vāhita vāhyamāna vāhaya vāhayāmāsa vāhayitvā vāhayati vāhayanti vāhyante vāhayasi avāhayan vāhayiṣyāmi vāhayiṣyati vāhayiṣyanti vāhyate vāhaye vāhayasva vāhyatām vāhayitum vāhayamāna 
vic	viñcanti viveca vicyadhvam vinaktu vivikvas 
vij	vigna vijante vijantām vijeta avije vivijre vikta vīvijaḥ vijamāna 
vid	veda viduḥ vidyāt vidyate vidita viddhi vidyate viditvā vidvas vetti veditavya vedya vindati vindate vettha veda vidma veditum vedmi vetsi vidmahe vidat vidyamāna vidmaḥ vidyāma vedanīya avindat avindata vidyuḥ vindeta vindanti viveda vidyeta vidyām vitta vidanti vittam vindet avindan vidyante vidāna vitta vivide vidyante vide vettum avidam vindat vindāmi avidat vidat vidaḥ vidyāḥ avidāma vetsyate vidan vidyamāna vetsyāmi vetsyanti vividuḥ vindyāt vettum vida vide vinda vetsyasi vidāḥ vidita vetsyati vetsyase vittvā vidyete vidāṃcakruḥ aviduḥ vitta avindaḥ vinna avet vedat vindeyuḥ avidaḥ vidam vindeyam vetsyati vetsyāmaḥ vidyete avidan vindase vindasva avitsi vidanta vedya vividvas vidāna vitse vidāṃcakāra vidyati avidan vidre vindasi vindāmaḥ vindata avindam avindatam vinde vindante vindethāḥ vinderan avindanta vivitse vetsyāmahe vidyeran vetsyadhvam vividre vidāt vide vindan vetsyat vide vindamāna vedāni vettu vedai vettāsi veditā vidyāmahe avediṣuḥ vidāmaḥ avet vetsyanti avet vidmane vindataḥ vindema vindeta vindatu viveda viveditha vividathuḥ vivida avidāva vindāmahe vindeya avindethām vivide vindāvahai vindāmahai avidyata vidāthaḥ vidātha vividrire vidāsi avedi vedi vidatam vindat vividat videṣṭa videma vindaḥ vindāsai vedanīya vindāna viditavat vidāyya vettave vidvaḥ vidyātam vediṣyāvaḥ vidathuḥ vitte vidasva vidāṃbabhūvuḥ vediṣyante avediṣyam avediṣyan avedīt avediṣṭa avedam vidāṃkurvantu vidāmakran vetsyāmi vidāṃcakara avedam aviduḥ avedi vedaḥ vedati vedathaḥ vittāt vet vidatha vettavya vidyat veditoḥ 
vip	vepamāna vepate vepat vepanti vepase vepete vepante avepata avepanta vivipre avīvipat avīvipan vivepe vepitum vipāna 
vivās	vivāse vivāsati vivāsasi vivāsanti vivāsa vivāset vivāsema vivāsata vivāsate vivāseyam vivāsathaḥ vivāsataḥ vivāsān 
vivikṣ	vivikṣat 
viṣ	viveṣa aviveṣīḥ viṣṭa viṣṭvī viviṣmaḥ aveṣan viviḍḍhi vivekṣi viveṣṭi viviṣṭaḥ viviṣuḥ viveḥ viveṣaḥ veṣat 
viś	viveśa viviśuḥ viśanti viśati viśet aviśat viśat viśa viśate viṣṭa viśantu viviśatuḥ viśāmi viśadhvam viśatu viśethāḥ viśante viśasva avikṣata viśamāna viśasi viśataḥ viśatam viveśa viśeta aviśanta viśeyam viśetām viśema viśeyuḥ viśatām viśat viśathaḥ viśāmaḥ viśeḥ viśāva viśatām viśāma viśata aviśam aviśan vekṣyasi avīviśat viveśitha viviśe viviśate viśatuḥ viśam avikṣam viviśyāḥ avikṣmahi viveśuḥ aviśran veśīt viviśre 
vī	vīta vyetu veti vītaye veṣi vīhi vyeti vyantu viyat viyanti vetu veḥ vyat vihi vivāya vīta vītam vemi vītam vīyāt vīyāya vīthaḥ vyanti vivye vīthaḥ vīhi vīyase vītāt vayati veṣat vayam aviveḥ vayat viveḥ vyayāva vīta viyantu vyait vyaitām vyaiṣṭa 
vīj	avījyata vivyajuḥ vījet vījat vījamāna 
vījay	vījyamāna vījita vījyate vījayet vījayat vījayati vījayanti avījayat vījyeta 
vṛ	vṛta vṛta vṛṇīṣva vavre vṛṇīmahe vṛṇe avṛṇīta vṛṇomi vṛṇāna āvaḥ vṛṇīte vṛṇate vṛṇu vṛṇīta vriyatām varante avṛṇot vṛdhi vṛṇoti urāṇa vṛṇu varanta vṛṇuyāt vṛṇai vavrire vṛṇute vṛtavat vavruḥ vṛṇe ūrṇuhi var vṛtvā vavrivas avṛṇoḥ vṛṇvate aurṇot vavṛmahe vārya vṛṇomi vṛṇoti vavre ūrṇoti ūrṇute var vran vartave vṛṇīdhvam vṛṇītām vṛṇuta vavruḥ vṛṇuṣe āvaḥ aurṇoḥ varate varāte avīvaran vṛṇīṣe vṛṇīthāḥ avṛṇīthāḥ avṛṇīmahi vṛṇuyuḥ vṛṇāvahai vṛṇītam vṛṇīdhvam vavrāte vṛṇudhvam vavartha vurīta vṛṇāthām avṛṇātām vṛṇoṣi avṛṇvan vavāra avṛṇuta avṛṇvata vavṛmahe ūrṇuthaḥ ūrṇotu ūrṇuta ūrṇuvantu ūrṇuṣe ūrṇuṣva vam avaḥ avran varethe avri varathaḥ vran avāri avīvarata varat vartam avāvarīt ūrṇot vṛṇvat vṛṇvāna vṛtvī vrāṇa vṛṇīya avṛṇītam avṛṇīdhvam vriyate vṛṇuyāḥ vṛṇatām vavṛṣe vavrāthe vṛṇotu vriyantām vṛṇuṣva vṛṇve vṛṇīhi vṛṇītam vṛṇīmaḥ vṛta varanta avṛṣata variṣyamāṇa vṛtvā vṛṇvat vriyamāṇa varaṇīya 
vṛj	vṛṅkte vṛkta vṛṇaktu avṛñjata vṛṅgdhi varjya vṛṇakti vṛṇak vṛjyate vṛñje vṛñjate vṛṅdhi vṛjyāḥ vṛṇakṣi vṛñjanti vṛkṣi varktam vark vark avṛṇak avṛṇak avṛñjan vavṛjuḥ vṛñjāte vṛṅktām vṛṅkta vṛñjantu avṛjan vṛṅkṣva vṛjyām vṛjyāma vṛñje vavṛktam avṛkta vāvṛje varjati vṛṇajan vavṛjyuḥ vṛñjīta vṛñjāna vṛktvī vṛjadhyai vṛñjase vavarjivas varjivas 
vṛt	vartate vartamāna vṛtta vartante avartata varteta vartat vartase vartitavya vartatām vṛtta avartanta vartasva vartāmi vavṛtsva varteran vavṛte vavṛtyām vartadhvam vartanti varte vartāmahe vartitum vartete vartethāḥ vavṛtyāḥ vāvṛte vartitum vavṛtyāt vāvṛtuḥ vartantām vartati vartāma avartan vavarta avartiṣṭa vavṛtyuḥ vavartati vavartat vavṛtīya vṛttavat varteya varteyātām vartasi vartāmaḥ varteyam vavṛtire avartetām vartiṣye vartet varta vartatu vartata vartsyati vartitā avartithāḥ vāvṛte vāvarta vavṛtat avṛtan avīvṛtat avīvṛtan vavṛttana avavṛtranta avṛtat vavṛtīmahi vartta vartiṣyasi vavṛtyāma varti avṛtran vartanīya vartsyat vartitavya vartavya 
vṛdh	vṛddha vardhate vardhamāna vavṛdhe vāvṛdhāna avardhata vardhante vṛdhe vāvṛdhe vardhatām vardhanti vāvṛdhuḥ vardhasva vardhantu vardhat avardhan avardhanta vardha avṛtsata vardhase avīvṛdhat vṛdhāna vardhati avīvṛdhan vardheta vardhantām avṛdhat vṛdhat vardhasi vardhatu vardhete vavardha vāvṛdhāte vardhān vāvṛdhanta vāvṛdhasva vardhanīya vāvṛdhadhyai vardhāmahe vavṛdhāte vavṛdhuḥ vardhata vardhat vardhāt vṛdhat vardhatam vardhata vavṛdhire vardhiṣyate vāvṛdhe vardhitum vardhitavya vāvṛdhvas vṛdham vṛdhasāna vavṛdhāna vardhataḥ vardheyuḥ vardhāma avardham avardhatām vardhe vardheran vardhethām avardhāmahi vartsyate avīvṛdham vardhiṣyanti vardhāḥ vāvṛdhate vāvṛdhāti vardhanta avīvṛdhadhvam avīvṛdhanta vāvṛdhīthāḥ avardhiṣṭa vāvṛdhete vṛdhāma vardhāse vardhan vāvṛdhatuḥ vardhamāṇa vṛdhat vṛdhase vavṛdhat 
vṛṣ	vavarṣa varṣati varṣat varṣanti vṛṣṭa vavarṣuḥ vṛṣasva varṣamāṇa avarṣat vavṛṣuḥ varṣiṣyati varṣatu varṣate varṣantu vavarṣatuḥ avarṣatām avarṣan varṣante vṛṣethām vṛṣṭvā avarṣata avarṣetām vavṛṣe avīvṛṣan varṣiṣyat varṣitum varṣāmi varṣasi varṣathaḥ varṣet varṣiṣyāmi varṣiṣyasi varṣadhvam avarṣanta vavṛṣāte vavarṣire vavarṣāte vāvṛṣasva avarṣīḥ avarṣīt vṛṣyate varṣitvā vṛṣṭvī vāvṛṣāṇa vṛṣat varṣṭoḥ 
vṛṣāy	vṛṣāyate vṛṣāyamāṇa vṛṣāyase vṛṣāyante vṛṣāyasva vṛṣāya 
vṛh	vṛhāmi vṛha vṛhāmasi vṛhatam vṛhatāt vṛhati vṛhathaḥ vṛhāmaḥ vṛheva vṛhata avṛhaḥ vavarha varhi vṛhat vṛhaḥ 
ve	vayat ūta vayanti vayata uta vaya vyayāmasi otavai vāyitum vayati vayataḥ avayat avayan ūvuḥ vayiṣyat otave vātave 
vejay	avejayat vejita 
veday	vedayate vedayati vedayanti vedita vedayat vedayante vedayet vedayāna avedayat vedayitvā vedayase vedayāmasi veditavat vedayeyuḥ vedayiṣyanti vedayeta vedyate vedayāmi avedayatām avedayanta vedayasva vedayāṃcakre vedayamāna vedyamāna vedayitum 
vedh	vedhate avedhat 
vedhay	vedhayet vedhya vedhita vedhayitvā vedhayate vedhyate vedhayat 
ven	venaḥ venat venati venanti venatam avenat 
vepay	vepita vepayanti avepayaḥ vepayat vepayati 
vell	vellita vellat vellate vellati 
vevid	vevidāna vevidāma 
veviṣ	veviṣat veviṣāṇa 
veṣay	veṣayāmi veṣayitvā 
veṣṭ	veṣṭya veṣṭita veṣṭamāna veṣṭat veṣṭate veṣṭase veṣṭante veṣṭatām veṣṭanti viveṣṭatuḥ veṣṭyamāna 
veṣṭay	veṣṭita veṣṭayet veṣṭayitvā veṣṭayat veṣṭya veṣṭya veṣṭayāmi aveṣṭayat veṣṭayanti aveṣṭayan veṣṭayiṣyanti veṣṭayāmāsa veṣṭyate veṣṭayate veṣṭyamāna 
veśay	veśayet veśaya veśayāmi veśayati veśayāmasi veśayāmahe 
vyac	vivyāca viviktaḥ avivyak aviviktām avivyacuḥ vivyaktha vivyak vivyacat vivyacuḥ vivyacanta 
vyath	vyathita vivyathe vyathate vyathantām vivyathuḥ vyatheta vyathet vyathiṣṭhāḥ vyathati vyathanti vyathase vyathante vyathamāna vyathe avyathata avyathiṣṭa vyathitum vyathete vyatheran vyathatām vyathyate vivyathe vivyathate vyathantu vyadhati vyathiṣmahi vyathat vyathiṣyai 
vyathay	vyathayat vyathayati vyathita vyathayanti vyathayet vyathayeyuḥ avyathayat vyathaya vyathayāṃcakāra vyathayāṃbabhūvuḥ vyathayāṃpracakruḥ vyathayate vyathayīḥ 
vyadh	vivyādha viddha viddhvā avidhyat vidhyet vidhyati vivyadhuḥ vidhya avidhyata vidhyat avidhyan vidhyata vividhuḥ vyadhya veddhum vidhyāmi vivyadhatuḥ vivyadhe vidhyate avidhyetām vidhyate vidhyat vidhyasi vidhyanti vidhyatu vidhyatam avidhyatām vidhyeta vivyadhāte veddhavya vidhyamāna vidhyāmaḥ vidhyatām avidhyam vetsyāmi vetsyasi vetsyanti vidhyete vidhyatām vidhyante veddhā vidhyāt vidhya vedhanīya 
vye	avyata vīta vyata vyayasva avyayam avyayat vyayeyam vyayati avyat avyata avyan vivye vivyathuḥ vyaye vyayantu vyāyanti 
vraj	vrajet vrajat vraja vrajati vrajanti vrajāmi vrajata vrajatu avrajat vrajeta vrajantu vrajate vrajasi vrajataḥ vrajāmaḥ vrajeḥ avrajan vrajasva vrajema vavrāja vraje vrajethāḥ vrajadhvam vrajāvaḥ vrajeyam vrajeyuḥ vrajatam vrajāma vrajāmahe vrajan vrajamāna avrajam vrajiṣyasi vrajāvahe vrajatām vrajat 
vrajay	avrajayat 
vraśc	vṛśca vṛścāmi vṛkṇa vṛścanti avṛścat vṛścati vṛścate vṛścat vṛścasi vṛścat vṛścatu vṛścāt vṛścaḥ vṛścantām vṛścayitvā 
vrājay	vrājayati 
vlī	avlīyata vlīyamāna 
ṣṭhīv	ṣṭhīvati ṣṭhīvet ṣṭhīvat ṣṭhīvitvā ṣṭhyūta 
śaṁs	śaṃsati śasta śasyate śaṃsa śaśaṃsa śaṃsanti śaṃset śaṃsat śasyante śaṃsitum śaśaṃsuḥ śaṃsasi śasyamāna śaṃsita śastvā śaṃsya śaṃsata śaṃsiṣam śaṃstavya śasya śasyete śaṃsāmi śaṃseyuḥ śaṃsatu aśaṃsat śaṃsāmaḥ śaśaṃsire aśaṃsīt śaṃsadhvam aśaṃsata aśaṃsiṣam śaṃsiṣyati śaṃsante śaṃsasva śaṃsethāḥ śasta śaṃsi śaṃsāti śaṃsā śaṃsataḥ śaṃsāva aśaṃsan śaśaṃsatuḥ śasyase śaṃsete śaṃsāmahe śaṃsuḥ śaṃsiṣuḥ aśaṃsuḥ śaṃsiṣyate śaṃsiṣaḥ śaṃsiṣat śaṃsat śaṃsan śaṃsiṣṭa śaṃsiṣyat śasya śaṃsamāna śaṃsivas 
śaṁsay	śaṃsaya śaṃsayet aśaṃsayat śaṃsayāṃcakāra śaṃsayāni 
śak	śakta śakyate śakya śaknoti śekuḥ śaśāka śaknomi śakṣyāmi aśakat aśaknuvan aśaknot śaknuyāt śaknoṣi śaknuvanti śakyante śaknumaḥ śakṣyanti śakṣyasi śagdhi śakita śakyeta śaknuyām śakṣyati aśakam aśakata śakṣyāmaḥ śakṣye aśakan śaknuvat śakyāmi śakema śaktam śakat aśaknutām aśakaḥ śekatuḥ śakṣyase śakyasi śaknavāma śakeyam śaknosi aśaknuvam śakyase śakyāmahe śakyeran aśakyata aśakyanta śakaḥ śaknuvaḥ śaknuyāma śaknuyuḥ śakṣyatha śakyete śekima śeka śakṣyāmahe śakema aśakyeta śakyatha aśaknuvat śaknuhi śakyām śakemahi śakan śakanīya 
śaṅk	śaṅkita śaṅke śaṅkamāna śaṅkate śaṅkanīya śaṅketa śaṅkase śaṅkeran śaṅkitum śaṅkitavya śaṅkya aśaṅkata śaṅkāmahe śaṅkethāḥ śaṅkemahi śaṅket śaṅkyate śaṅkyatām aśaṅkiṣṭa śaśaṅke śaśaṅkire śaṅkyamāna 
śap	śapta śaśāpa śape aśapat śaptvā śaptum śapat śaptavat śapeyam śapet śapāmi śapanti śepuḥ śapati aśapan śapsye śapāt śepe śapāmahe śapasva śapamāna śapyamāna śepe śāpitāsi śapsyāmi śapiṣye śapātaḥ śapasi śapataḥ śapāmaḥ śapeyuḥ śapāma aśapam aśapata śepiṣe śapeta śapsyate śapsyati śapāti śapitum śapitvā śaptavya śāpya 
śabday	śabdita śabdyate śabdayati śabdayāmaḥ śabdayet śabdayata 
śam	śānta śāmyati śāmyanti śaśamāna śāmyat śāmyet śāmya aśāmyata śāmyatu śaśāma śamyeta śāmyatām aśīśamat śaśame śamīdhvam śameyam śamitum śāmyasi śāmyantu aśīśamam śamya śāmyāmi śāmyāma śāmyata aśāmyat aśīśamaḥ aśīśaman śemuḥ śāmyasva śāmyeran aśamiṣṭhāḥ aśamiṣṭa śaśamate śāntavat śamanīya 
śamay	śamayet śamayati śamayanti śamita śamaya śamayat śamayāmāsa śamayitum śamayiṣyati śamayate śamayitvā śamayantu aśamayat śamayiṣyāmi śamayeḥ śamayiṣyasi śamayiṣyāmaḥ śamayāṃbabhūvuḥ śamayāmi śamayeyuḥ śamayatu śamayiṣyanti śamayāṃcakāra śamayāmāsuḥ śamayasva śamayadhvam aśamayanta śamayat śamayāmasi 
śalyay	śalyayat 
śā	śita śiśāna śiśīhi śiśīte śiśādhi śāta śiśīta śiśāmi śiśītam śiśāti śyat śiśātu śiśīmasi śiśīmahi aśiśāt śiśāḥ 
śātay	aśātayat śātayet śātita śātayati śātayāmāsa śātayat śātayāmi śātaya śātayiṣyanti śātayāmāsuḥ śātayiṣye śātayetām 
śāpay	śāpita śāpayet śāpayitvā śāpitavat 
śāmay	śāmyate śāmita aśāmayat śāmyamāna 
śāyay	śāyayet śāyita śāyayitvā śāyayiṣyati 
śās	śiṣṭa śaśāsa śāsat śāsti śādhi śāsya śiṣya śāsta śāsitum śāstum śiṣyāt śāstu śāsita śāsate śāsmi śaśāsuḥ śāste śāsata śāsyatām aśāsata śaśādhi śāsanīya śāssi śiṣyāḥ aśāsam aśāsan śāsiṣyati aśiṣam aśiṣat śāsyate śāse śāsmahe śāsati śāstā śāstāraḥ śāstana śaśāḥ śāsan śāsaḥ śiṣāmahi śiṣat śiṣya śāsitavya śiṣyamāṇa 
śāsay	śāsayet śāsayitavya 
śikṣ	śikṣitavya śikṣate śikṣamāṇa śikṣat śikṣiṣyante śikṣa śikṣasva śikṣā śikṣatam śikṣyamāṇa śikṣante śikṣet śikṣeta aśikṣata śikṣati śikṣiṣyate śikṣāmi śikṣasi śikṣitum śikṣathaḥ śikṣeyam aśikṣaḥ aśikṣatam aśikṣan śikṣyatām śikṣāt śikṣiṣye śikṣitvā śikṣase śikṣethāḥ śikṣeran śikṣatām śikṣethām aśikṣanta śikṣanti śikṣema śikṣatu śikṣiṣyāmi śikṣāḥ śikṣān śikṣam śikṣya 
śikṣay	śikṣita aśikṣayat śikṣayet śikṣayati śikṣayāmāsa aśikṣayam śikṣaye śikṣayasva śikṣayāmāsa śikṣayitum śikṣayāmi śikṣaya aśikṣayan śikṣayat śikṣayasi śikṣayanti śikṣayiṣyāmi śikṣayīta 
śiṣ	śiṣṭa śiṣyate śiṣyante śiṣyanti śiṣṭvā śiṣyamāṇa śiṣyeta śiṣaḥ śiṣyat 
śī	śayāna śete śayīta śerate śayita śeṣe śiśye śaye aśeta śaye aśayat aśayiṣṭa aśayiṣi śiśyire śeṣva śayitā aśāyata śayām śayitvā śayiṣyase śeṣye śaśayāna śayīthāḥ śayīyātām śayīmahi śayīran śayiṣye śeṣyate śetām śayate śere śayitum śayya śayamāna śayadhyai śayāte śayiṣyate śeranta śayātām śayiṣyasi śayāmahe śayeyam śayet śeratām śethāḥ śeṣyante śeṣyati aśerata śayadhve śayante śeṣan aśāyatam aśeran aśāyaḥ śayāsai śayitavya śayanīya śeṣyate 
śīlay	śīlayet śīlita śīlayat śīlayanti śīlayitvā śīlanīya śīlaya śīlayantu śīlya śīlyamāna 
śuc	śocat śocati śocanti śucaḥ śocya śocāmi śocasi śocitum śuśoca śocet śocitavya śoca śocamāna śukta śocate śucat śocatu aśocat śuśucāna śocanīya śuśucuḥ śocaḥ śuśukvas aśocan śocasva śuca śocatha śocata śoce śocase śocadhvam śocithāḥ śuśucīta śuśugdhi aśoci śocitvā śoceyam śoceyuḥ śocatam śociṣyāmi śociṣyati aśucat śocāmahe śocante śoceta śocemahi aśocata aśocanta śocimi śociti śocīḥ śociṣye śocanta śucadhyai śucamāna 
śudh	śuddha śudhyati śudhyanti śudhyate śodhya śudhyet śudhyeta śodhanīya śudhyante śudhyeran śudhyantām śudhyeyuḥ śundha śudhyataḥ aśudhyat śudhyete śundhati śundhatu śundhāma śundhata śudhyatām śudhyamāna 
śubh	śuśubhe śobhate aśobhata śobhamāna śobhante aśobhanta śumbhamāna śubhe śubham śobhase śumbhanti aśobhetām śuśubhire śumbhāmi śobhethāḥ śumbhata śumbhate śumbhante śumbhantu śobhase śobhete śobheta śobhiṣyase śobhiṣyate śuśubhate śumbhati śobhati śobhanti śuśubhuḥ śobhiṣyasi śobheyam śobhet śumbhase śobhe aśūśubhan śumbha śumbhata śumbhāti śumbhita śumbhat śubhāna śumbhāna 
śuṣ	śuṣyati śuṣyat śoṣya śuṣyanti śuṣyamāṇa śuṣyet śuṣyatu śuṣyate aśuṣyan śuṣyataḥ śuṣya aśuṣyat śuśoṣa śuṣyāmi śuṣyantu śuṣyeta śuṣye śuṣyante śuṣat śuṣya śoṣaṇīya śuṣat 
śṛ	śīrṇa śṛṇīhi śīryate śīryamāṇa aśīryata śīryante śṛṇāti śīryeta śṛṇātu śṛṇāmi śāri śīrya śṛṇītam śṛṇantu śaśre śīryantām śṛṇāsi aśṛṇāt aśīryanta śīryet śīryati śīryanta śṛṇīmasi aśarait śṛṇāna śarītoḥ śūrta 
śeṣay	śeṣita śeṣayet śeṣayetām śeṣayeyuḥ aśeṣayat śeṣayiṣyati śeṣayaḥ 
śocay	śocya śocyate śocita śucayat śocayāmasi śocayati śocayiṣyati śocayat śocayāmi śocaya śocyase śocyatām śocayitvā śocyamāna śocitavat 
śodhay	śodhayet śodhita śodhya śodhayitvā śodhayanti śodhayāmi śodhayat śodhayati śodhyate śodhya śodhayitum śodhaya śodhayitavya śodhyamāna śodhayeyuḥ aśodhayat śodhayāmāsa śodhitavat 
śobhay	śobhita śobhayat śobhayanti śobhayāmāsa śobhayāṃcakrire śobhayet śobhayantu aśobhayat śobhayasi śobhayati śobhayeta śobhayeyuḥ aśobhayan śobhayiṣyāmi śobhayiṣyanti śobhayāṃcakratuḥ śobhayāṃcakruḥ śobhayāmāsuḥ śobhayatām śobhayitvā 
śoṣay	śoṣayet śoṣita śoṣayitvā śoṣayati śoṣya śoṣayat śoṣayiṣyāmi śoṣayataḥ aśoṣayat śoṣaya śoṣayiṣye śoṣayāmi śoṣayāmaḥ śoṣayate śoṣyate śoṣya śoṣayanti śoṣayeyam śoṣayeyuḥ śoṣayiṣyati śoṣayiṣyanti śoṣaye śoṣayeta śoṣayeyātām śoṣayāmāsatuḥ śoṣayitum śoṣyamāṇa 
ścut	ścotanti ścotati ścotat 
ścotay	ścotayeyuḥ ścotya 
śnath	śiśnathaḥ śiśnathat śnathat śnathihi śnathita aśiśnat śnathiṣṭam śnathiṣṭana śnathitā śiśnatham 
śyā	śyāna 
śrath	śiśrathaḥ śiśrathat śrathnanti śrathnāḥ aśrathnan śiśrathantu śrathnīte śaśrathe 
śram	śrānta aśrāmyat śrāmyat śrāmyati śaśramāṇa śramiṣma śrāmyasi śrāmyanti śrāmyase śaśrāma śraman śaśramuḥ aśramat śrāmyamāṇa 
śrāvay	śrāvayet śrāvita śrāvayāmāsa śrāvya śrāvayat śrāvayitvā aśrāvayat śrāvayethāḥ śrāvayeta śrāvayanti śrāvayiṣyāmi śrāvaya śrāvayiṣyati śrāvayeyuḥ śrāvayāmāsuḥ śrāvayase śrāvayate śrāvayīta śrāvyatām śrāvya śrāvaṇīya śrāvyamāṇa śrāvayitavya śrāvayati śrāvayāmaḥ śrāvayiṣyanti śrāvaye aśrāvayanta śrāvayāṃcakrire śrāvitavat 
śri	śrita aśret śiśriye śrayet aśrayanta śrayate śrayantām aśiśriyat śrayasva śrayati aśrayat śrayante aśiśrayuḥ śiśriyāṇa śraya śiśrāya śrayeta śrayiṣye śrayadhvam śreya śrayeyuḥ śrayatām śiśriyuḥ śrayethāḥ śrayethām śiśriyire aśreḥ aśiśret aśrāyi śrayamāṇa śrayāmi śrayasi śrayetām śiśraya śrayeya śraye śrayāvahe śrayethe śrayāmahe śriyante śrayatām aśrayāmahi aśiśriyam śiśriyāte aśriyan śiśrīta śret śrayātai śritvā 
śrī	śṛta śrāta śrīṇanti śrīta śrīṇat śrīṇāna śriyase śrīṇāti aśrīṇāt śrāyante śrīṇīhi śrīṇīta śrīṇītana śrīṇantu śrīṇīṣe śrāyat 
śru	śrutvā śṛṇu śruta śrotum śrūyate śṛṇvat śrūyatām śṛṇuṣva śṛṇoti śṛṇuyāt śuśrāva aśrauṣam śrotavya śrūyante śṛṇvantu śṛṇuta śṛṇudhvam śṛṇomi śrutavat śuśruve śṛṇvanti śuśruma śṛṇotu śṛṇutam aśṛṇot aśrauṣīt śṛṇoṣi śrudhī śrutam śroṣyanti śuśruvuḥ śrudhi śṛṇve śravya śṛṇavat śroṣyati śṛṇvāna śroṣyasi śrūyamāṇa śroṣyāmi aśrūyata śṛṇutā śravat śṛṇuhi śṛṇumaḥ aśṛṇavam aśrūyanta śuśrumaḥ śrāvya aśrauṣīḥ śṛṇute śṛṇvire śṛṇavāma śrāvam śroṣyatha śrotā śṛṇavan śṛṇviṣe śṛṇudhi śravaṇīya aśṛṇoḥ aśṛṇvan aśrauṣuḥ śroṣye śroṣyate śruta śrota śṛṇuyām śṛṇuyāḥ śṛṇuyuḥ śuśrava śroṣyase aśrāvi śrotāsmi śrotāsi śrotāraḥ śrūyāḥ śṛṇavaḥ śrutam śṛṇuyāma śroṣyāvaḥ śroṣyāmaḥ śuśruva śuśruvatuḥ śṛṇvate śṛṇvatām śrūyete śrūyantām śrūyeta śrotu śruvantu śṛṇota śṛṇotana aśravam aśrot śuśrūyātam śrāvaṇīya śuśruvas aśṛṇuva aśṛṇuma aśrauṣma śuśrāva śṛṇvāni śṛṇve śṛṇutām śṛṇvīta śuśruvire śroṣyāmahe śravet śṛṇohi śuśruhi śrūyanta aśuśruma śroṣyāma aśṛṇvat śrūyanti śrauṣam śṛṇavāma aśuśravi aśuśravuḥ śravathaḥ śravataḥ śuśravat śroṣi śuśrūyāḥ śruvat śroṣyat śrutya 
ślāgh	ślāghya ślāghanīya ślāghamāna ślāghate ślāghase ślāghyate ślāghat ślāgheta ślāghita ślāghe ślāghasva ślāghati ślāghanti 
