parent	n_children	children
aja	63	ajakarṇa|ajakarṇaka|ajakūlā|ajakṣīra|ajagati|ajagandhā|ajagandhikā|ajagandhinī|ajagara|ajagallikā|ajajīvana|ajajīvika|ajatā|ajatva|ajā-tva|ajadaṇḍī|ajadevatā|ajanāmaka|ajapa|ajapatha|ajapada|ajapāda|ajapād|ajapārśva|ajapāla|ajababhru|ajabhakṣa|ajamāyu|ajamāra|ajamīḍha|ajamīḷha|ajamukha|ajameru|ajamoda|ajamodā|ajamodikā|ajarṣabha|ajalambana|ajaloman|ajalomī|ajavasti|ajavāha|ajavīthī|ajaśṛṅgī|ajastunda|ajahā|ajā-kṛpāṇīya|ajā-kṣīra|ajā-gala|ajāgala-stana|ajā-jīva|ajā-taulvali|ajāda|ajādanī|ajādi|ajāntrī|ajā-payas|ajā-pālaka|ajāvi|ajāvika|ajāśva|ajaikapād|ajaiḍaka
ajaka	1	ajakā-jāta
ajaḍa	1	ajaḍadhī
ajana	1	ajanayoni-ja
ajaya	3	ajayapāla|ajayavarman|ajayasiṁha
ajara	1	ajarāmara
ajahat	2	ajahatsvārthā|ajahal-liṅga
ajāta	8	ajātakakud|ajātapakṣa|ajātaloman|ajātavyañjana|ajātavyavahāra|ajātaśatru|ajātānuśaya|ajātāri
ajāmi	2	ajāmitā|ajāmitva
ajita	6	ajitakeśa-kambala|ajitabalā|ajitavikrama|ajitātman|ajitāpīḍa|ajitendriya
ajina	8	ajinapattrā|ajinapattrī|ajinapattrikā|ajinaphalā|ajinayoni|ajinaratna|ajinavāsin|ajinasandha
ajira	4	ajiravatī|ajiraśocis|ajirādi|ajirādhi-rāja
ajihma	2	ajihmaga|ajihmāgra
ajīta	1	ajītapunarvaṇya
ajīryat	1	ajīryattā
ajña	2	ajñatā|ajñatva
ajñāta	6	ajñātakula-śīla|ajñātaketa|ajñātabhukta|ajñātayakṣma|ajñātavāsa|ajñātaśīla
ajñāna	7	ajñānakṛta|ajñānatas|ajñānatā|ajñānatva|ajñānabandhana|ajñānabodhinī|ajñānavidhvaṁsana
ajyeṣṭha	1	ajyeṣṭhavṛtti
añcita	4	añcitapattra|añcitapattrākṣa|añcitabhrū|añcitalāṅgūla
añjana	7	añjanakeśa|añjananāmikā|añjanavat|añjanā-giri|añjanādhikā|añjanāmbhas|añjanā-vatī
añjas	2	añjaḥ-sava|añjaspā
añjasā	1	añjasāyana
añji	3	añjimat|añjisaktha|añjy-eta
añjali	5	añjalikarman|añjalikārikā|añjalipuṭa|añjalibandhana|añjalī-kṛta
aṭavī	1	aṭavīśikhara
aṭṭa	9	aṭṭapati-bhāgākhya-gṛha-kṛtya|aṭṭapālaka|aṭṭasthalī|aṭṭahasita|aṭṭahāsa|aṭṭahāsaka|aṭṭahāsin|aṭṭahāsya|aṭṭāṭṭa-hāsa
aṇī	3	aṇīci|aṇīcin|aṇīmāṇḍavya
aṇiman	1	aṇima-tas
aṇu	19	aṇupriyaṅgu|aṇutara|aṇutaila|aṇutva|aṇutā|aṇubhā|aṇumadhya-bīja|aṇumātra|aṇumātrika|aṇureṇu|aṇureṇu-jāla|aṇurevatī|aṇuvādin|aṇuvedānta|aṇuvrata|aṇuvrīhi|aṇuśas|aṇū|aṇv-anta
aṇū	2	aṇūbhāva|aṇūbhū
aṇḍa	15	aṇḍakaṭāha|aṇḍakoṭara-puṣpī|aṇḍakośa|aṇḍakoṣa|aṇḍakoṣaka|aṇḍaja|aṇḍajeśvara|aṇḍadala|aṇḍadhara|aṇḍavardhana|aṇḍavṛddhi|aṇḍasū|aṇḍākarṣaṇa|aṇḍākāra|aṇḍākṛti
at	1	ad-bhuta
atana	1	atanavat
atathā	1	a-tathocita
atad	2	atadarha|atadguṇa
atapta	2	ataptatanū|ataptatapas
atamas	1	a-tamāviṣṭa
atarkita	1	atarkitopapanna
atarkya	1	atarkyasahasra-śakti
atala	2	atalasparśa|atalaspṛś
atas	6	ata-ūrdhvam|ata-eva|ataḥ-param|ato-nimittam|ato-'nya|ato-'rtham
ati	284	atikaṭhora|atikatha|atikarṣaṇa|atikalyam|atikānta|atikāya|atikiriṭa|atikirīṭa|atikutsita|atikulva|atikṛcchra|atikṛta|atikṛśa|atikṛṣṇa|atikruddha|atikrudh|atikruṣṭa|atikhara|atigaṇḍa|atigandha|atigandhālu|atigarīyas|atigarvita|atigahana|atigāḍha|atigārgya|atiguṇa|atigupta|atiguru|atigo|aticaṇḍa|aticaraṇa|aticāpalya|aticira|atichattra|atichattraka|atijara|atijaras|atijala|atijava|atijāgara|atijīrṇa|atijīrṇa-tā|atijīva|atiḍīna|atitapasvin|atitamām|atitīkṣṇa|atitīvra|atitṛṇṇa|atitṛpti|atitṛṣṇa|atitrasnu|atidagdha|atidantura|atidarpa|atidarśin|atidātṛ|atidāna|atidāruṇa|atidāha|atidigdha|atidīrgha|atiduḥkhita|atiduḥsaha|atidurgata|atidurdharṣa|atidur-lambha|atiduṣkara|atidūra|atidoṣa|atidvaya|atidhavala|atidhenu|atinidra|atinipuṇa|atinīca|atipathin|atipada|atiparokṣa|atiparokṣa-vṛtti|atipātaka|atipuruṣa|atipūruṣa|atipūta|atipeśala|atiprakāśa|atiprage|atipraṇaya|atipraṇudya|atiprabandha|atipravaraṇa|atipravṛtti|atipravṛddha|atipraśna|atipraśnya|atiprasakti|atiprasaṅga|atiprasiddha|atiprauḍha|atiprauḍha-yauvana|atibala|atibahu|atibālaka|atibāhu|atibībhatsa|atibrahmacarya|atibhāra|atibhāra-bhūta|atibhāra-ga|atibhī|atibhīṣaṇa|atibhṛta|atibhojana|atibodhi-sattva|atibhrū|atimaṅgalya|atimati|atimadhyandina|atimarśa|atimanoratha-krama|atimāna|atimānin|atimāni-tā|atimāruta|atimāla|atimirmira|atimukta|atimuktaka|atimukti|atimūrti|atimemiṣa|atimaithuna|atimokṣa|atimodā|atiyava|atiyaśa|atiyaśas|atiyāja|atiyātrā|atiyuvan|atiyoga|atiraṁhas|atirakta|atiratha|atirabhasa|atirasā|atirājan|atirucira|atiruṣ|atirūpa|atiroga|atiromaśa|atilakṣmī|atilaṅghana|atilamba|atilubdha|atilobha|atilulita|atilobha|atilobha-tā|atiloma|atilomaśa|atilomaśā|atilohita|atilaulya|ativaktṛ|ativakra|ativara|ativartula|ativāta|ativāda|ativādin|ativālaka|ativāhana|ativikaṭa|ativipina|ativilambin|ativīrya-prabha|ativiśrabdha-navoḍhā|ativiṣa|ativṛddhi|ativṛṣṭi|ativṛṣṭi-hata|ativepathu|ativaicakṣaṇya|ativaiśasa|ativyathana|ativyathā|ativyaya|ativyasta|ativyāpta|ativyāpti|atiśakta|atiśakti|atiśakti-bhāj|atiśaṅkā|atiśarvara|atiśasta|atiśāta|atiśukra|atiśukla|atiśobhana|atiśrama|atiśrī|atiślakṣṇa|atisaṁskṛta|atisakti|atisakti-mat|atisaṁcaya|atisaṁtapta|atisaṁdheya|atisamartha|atisamīpa|atisamparka|atisarasvatī|atisarva|atisādhvasa|atisāntapana|atisāyam|atisiddhi|atisitāṅga-vihaṁga|atisujana|atisundara|atisulabha|atisuhita|atisṛṣṭi|atisevā|atisaurabha|atisauhitya|atistuti|atisthira|atisthūla|atisnigdha|atisparśa|atisphira|atisvapna|atisvastha|atisvinna|atihasita|atihāsa|atihrasva|aty-akṣara|aty-agni|aty-aṇu|aty-adbhuta|aty-adhvan|aty-amarṣaṇa|aty-amarṣin|aty-amla|aty-amla-parṇī|aty-alpa|aty-aśana|aty-aśnat|aty-asama|aty-ākhaṇḍala-vikrama|aty-ādara|aty-ādāna|aty-ānanda|aty-āpti|aty-āyus|aty-ārūḍhi|aty-āroha|aty-āśā|aty-āśita|aty-āsārin|aty-āhāra|aty-āhārin|aty-āhita|aty-ukti|aty-ugra|aty-uccais|aty-uccair-dhvani|aty-utkaṭa|aty-utsāha|aty-udāra|aty-urvīśa|aty-ulbaṇa|aty-ulvaṇa|aty-uṣṇa|aty-ūrjitam|aty-ūdhnī|aty-ūrdhvākṣa|aty-ṛṣabha
atikrānta	2	atikrāntaniṣedha|ati-krāntātikrānta
atithi	16	atithīkṛ|atithikriyā|atithigva|atithitva|atithideva|atithidveṣa|atithidharma|atithidharmin|atithipati|atithipūjana|atithipūjā|atithībhū|atithivat|atithisatkāra|atithisevā|atithy-artha
atiprāṇam	1	ati-prāṇa-priya
atirājan	1	atirāja-kumāri
atirātra	2	atirātrayājin|atirātrasavanīya-paśu
atirikta	2	atiriktatā|atiriktāṅga
atiśaya	3	atiśayavat|atiśayokti|atiśayopamā
atiśreṣṭha	1	atiśreṣṭhatva
atiṣṭhā	2	ati-ṣṭhāvan|atiṣṭhāvat
atīta	2	atītakāla|atītanauka
atulya	1	atulyaprabha
atuhina	3	atuhinadhāman|atuhinaraśmi|atuhinaruci
atūrta	2	atūrtadakṣa|atūrtapathin
atṛpta	1	atṛptadṛś
atejas	3	atejaska|atejasvin|a-tejo-maya
atyagni	1	atyagnisomārka
atyanta	14	atyantakopana|atyantaga|atyantagata|atyantagati|atyantagāmin|atyantaguṇin|atyantatiraskṛta-vācya-dhvani|atyantapīḍana|atyantavāsin|aty-antaśas|atyantasaṁyoga|atyantasamparka|atyantasukumāra|atyantābhāva
atyayika	1	atyayikapiṇḍa-pāta
atyaṣṭi	1	atyaṣṭisāmagrī
atra	4	atradaghna|atrabhavat|atrasad|atraiva
atri	12	atricaturaha|atrijāta|atridṛg-ja|atrinetra-ja|atrinetra-prasūta|atrinetra-prabhava|atrinetra-sūta|atrinetra-bhū|atribhāradvājikā|atrivat|atrisaṁhitā|atrismṛti
athā	9	atha-kim|atha-kimu|atha-ca|atha-tu|atha-vā|atha-vāpi|athātas|athānantaram|athāpi
atho	1	athovā
