grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:9117	vedaweb:67615e6bb20f4c1a9fb8a040:1.10.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:4207	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:261	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:572	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.19	translation-witness	metrical_data_2024	2026-07-11
id_gra:5219	vedaweb:67615e6bb20f4c1a9fb8a040:1.24.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:3294	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:7772	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:9399	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:10296	vedaweb:67615e6bb20f4c1a9fb8a040:1.10.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:6296	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:4377	vedaweb:67615e6bb20f4c1a9fb8a040:1.33.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:3598	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:1836	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:2324	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:8336	vedaweb:67615e6bb20f4c1a9fb8a040:1.12.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:954	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:2152	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:7382	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:8967	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:7614	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:7235	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:6519	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:1401	vedaweb:67615e6bb20f4c1a9fb8a040:1.34.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:1033	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:6165	vedaweb:67615e6bb20f4c1a9fb8a040:1.12.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:1508	vedaweb:67615e6bb20f4c1a9fb8a040:1.14.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:1509	vedaweb:67615e6bb20f4c1a9fb8a040:1.14.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:9173	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.5	translation-witness	metrical_data_2024	2026-07-11
