aṁa, aṁ a
dharmabhīrutvād, dharma bhīru tva
dharmabhūtaṁ, dharma bhū
dharmabhūto, dharma bhū
dharmabhṛcchreṣṭhe, dharma bhṛt śreṣṭha
dharmabhṛt, dharma bhṛt
dharmabhṛtāṁ, dharma bhṛt
dharmabhṛto, dharma bhṛt
dharmabhṛdeva, dharmabhṛt eva
dharmabhṛddharmavarmāṇau, dharmabhṛt dharmavarman
dharmabherī, dharma bherī
dharmabhraṁśaṁ, dharma bhraṁśa
dharmamatir, dharma mati
dharmamatulamadhigamya, dharma atula adhigam
dharmamadharmaṁ, dharma adharma
dharmamanuprapannaḥ, dharma anuprapad
dharmamanyaṁ, dharma anya
dharmamapyasukhodarkaṁ, dharma api asukha udarka
dharmamapyācarenna, dharma api na ācar
dharmamayaḥ, dharma maya
dharmamayī, dharma maya
dharmamaye, dharma maya
dharmamayo, dharma maya
dharmamarāḍasya, dharma arāḍa
dharmamarthaṁ, dharma artha
dharmamarpayati, dharma arpay
dharmamaryādā, dharma maryādā
dharmamaryādāṁ, dharma maryādā
dharmamasmai, dharma idam
dharmamākhyānaṁ, dharma ākhyāna
dharmamācarati, dharma ācar
dharmamātravyāvṛttir, dharma mātra vyāvṛtti
dharmamātrāṇām, dharma mātra
dharmamāptuṁ, dharma āp
dharmamāpnuyāt, dharma āp
dharmamārutaśakrāṇām, dharma māruta śakra
dharmamārgād, dharma mārga
dharmamālabhanta, dharma ālabh
dharmamāśramiṇāṁ, dharma āśramin
dharmamiti, dharma iti
dharmamitrārthā, dharma mitra artha
dharmamimaṁ, dharma idam
dharmamīśaṁ, dharma īśa
dharmamukhamāmukhīkaroti, dharma mukha āmukhīkṛ
dharmamukhaśatasahasrāṇi, dharma mukha śata sahasra
dharmamukhānyāmukhīkaroti, dharma mukha āmukhīkṛ
dharmamukhānyāmukhīkṛtya, dharma mukha āmukhīkṛ
dharmamuddiśya, dharma uddiś
dharmamupākhyānaṁ, dharma upākhyāna
dharmamupaiṣyatīti, dharma iti upe
dharmamūrtidharāḥ, dharma mūrti dhara
dharmamūrtirvaco, dharma mūrti vacas
dharmamūrtyā, dharma mūrti
dharmamūlaṁ, dharma mūla
dharmamūlatvenābhyupagata, dharma mūla tva abhyupagam
dharmamūlam, dharma mūla
dharmamūlaś, dharma mūla
dharmamūlastu, dharma mūla tu
dharmamūlā, dharma mūla
dharmamūlāṁ, dharma mūla
dharmamūlāḥ, dharma mūla
dharmamūlāśrayaṁ, dharma mūla āśraya
dharmamūlo, dharma mūla
dharmamekaṁ, dharma eka
dharmameghadhyānopagaṁ, dharma megha dhyāna upaga
dharmameghavṛṣṭiṁ, dharmamegha vṛṣṭi
dharmametaṁ, dharma etad
dharmamevāpare, dharma eva apara
dharmamokṣaparaṁ, dharma mokṣa para
dharmamohāt, dharma moha
dharmayajñakriyās, dharma yajña kriyā
dharmayajño, dharma yajña
dharmayaśaḥpradīptā, dharma yaśas pradīp
dharmayācitaḥ, dharma yāc
dharmayājñika, dharma yājñika
dharmayānaṁ, dharma yāna
dharmayānena, dharma yāna
dharmayuktaṁ, dharma yuj
dharmayuktaḥ, dharma yuj
dharmayuktam, dharma yuj
dharmayuktamanṛtaṁ, dharma anṛta yuj
dharmayuktaśca, dharma ca yuj
dharmayuktastato, dharma tatas yuj
dharmayuktasya, dharma yuj
dharmayuktā, dharma yuj
dharmayuktān, dharma yuj
dharmayuktāni, dharma yuj
dharmayuktābhir, dharma yuj
dharmayuktāyāṁ, dharma yuj
dharmayuktāste, dharma tad yuj
dharmayuktena, dharma yuj
dharmayukteṣu, dharma yuj
dharmayukto, dharma yuj
dharmayuddham, dharma yuddha
dharmayuddhe, dharma yuddha
dharmayuddhena, dharma yuddha
dharmayogabalopetā, dharma yoga bala upe
dharmayogo, dharma yoga
dharmayoniṁ, dharma yoni
dharmayautukam, dharma yautuka
dharmarakṣāyai, dharma rakṣā
dharmarataḥ, dharma ram
dharmarataścaiva, dharma ca eva ram
dharmaratastapasvī, dharma tapasvin ram
dharmaratā, dharma ram
dharmaratān, dharma ram
dharmaratiṁ, dharma rati
dharmaratir, dharma rati
dharmaratirato, dharma rati ram
dharmarato, dharma ram
dharmaratau, dharma ram
dharmaratnam, dharma ratna
dharmarathasyābhūtputraścitrarathaḥ, dharmaratha putra citraratha bhū
dharmarahasyaṁ, dharma rahasya
dharmarājaṁ, dharma rāja
dharmarājaḥ, dharma rāja
dharmarājakṛtāṁ, dharmarāja kṛ
dharmarājanisṛṣṭas, dharmarāja nisṛj
dharmarājanisṛṣṭastu, dharmarāja tu nisṛj
dharmarājapurogāstu, dharmarāja puroga tu
dharmarājaprayogācca, dharmarāja prayoga ca
dharmarājapriyānveṣī, dharmarāja priya anveṣin
dharmarājapriyārthaṁ, dharmarāja priya artha
dharmarājam, dharma rāja
dharmarājamate, dharmarāja mata
dharmarājamabhyetya, dharmarāja abhye
dharmarājamāmantrya, dharmarāja āmantray
dharmarājavacaḥ, dharmarāja vacas
dharmarājavacanaṁ, dharmarāja vacana
dharmarājavaśaṁ, dharmarāja vaśa
dharmarājavisṛṣṭena, dharmarāja visṛj
dharmarājaśca, dharmarāja ca
dharmarājasamo, dharmarāja sama
dharmarājastatastūrṇam, dharmarāja tatas tūrṇam
dharmarājastathā, dharmarāja tathā
dharmarājastam, dharmarāja tad
dharmarājastu, dharmarāja tu
dharmarājaste, dharmarāja tvad
dharmarājastvarann, dharmarāja tvar
dharmarājasya, dharma rāja
dharmarājā, dharma rājan
dharmarājājñayā, dharmarāja ājñā
dharmarājānujo, dharmarāja anuja
dharmarājāparādhena, dharmarāja aparādha
dharmarājāyuṣo, dharmarāja āyus
dharmarājālayaṁ, dharmarāja ālaya
dharmarājeti, dharmarājan iti
dharmarājena, dharma rāja
dharmarājo, dharma rāja
dharmarājñastathaiva, dharmarājan tathā eva
dharmarājñā, dharma rājan
dharmarājñāham, dharmarājan mad
dharmarājye, dharma rājya
dharmarucirāha, dharmaruci ah
dharmarucirihaiva, dharmaruci iha eva
dharmarucirevamucyate, dharmaruci evam vac
dharmaruciryena, dharmaruci yena
dharmarucirvihāre, dharmaruci vihāra
dharmarucistaṁ, dharmaruci tad
dharmarucistadapi, dharmaruci tad api
dharmarucīti, dharmaruci iti
dharmarūpaṁ, dharma rūpa
dharmarūpam, dharma rūpa
dharmarūpāṇāmāśrayaḥ, dharma rūpa āśraya
dharmarūpāṇi, dharma rūpa
dharmarūpe, dharma rūpa
dharmarūpeṇa, dharma rūpa
dharmarūpo, dharma rūpa
dharmalakṣaṇam, dharma lakṣaṇa
dharmalakṣaṇasaṁyuktam, dharma lakṣaṇa saṁyuj
dharmalakṣaṇāvasthāpariṇāmā, dharma lakṣaṇa avasthā pariṇāma
dharmalaghavo, dharma laghu
dharmalabdhaṁ, dharma labh
dharmalabdhāddhi, dharma hi labh
dharmalabdhāni, dharma labh
dharmalabdhābhir, dharma labh
dharmalabdhārthabhoktāraste, dharma artha bhoktṛ tad labh
dharmalabdhair, dharma labh
dharmalayano, dharma layana
dharmalābhaṁ, dharma lābha
dharmalābho, dharma lābha
dharmaliṅgapraticchannaḥ, dharma liṅga praticchad
dharmaleśapraticchannaḥ, dharma leśa praticchad
dharmaleśastu, dharma leśa tu
dharmalopaṁ, dharma lopa
dharmalopakṛtena, dharma lopa kṛ
dharmalopād, dharma lopa
dharmalopān, dharma lopa
dharmalopena, dharma lopa
dharmalopo, dharma lopa
dharmalobhaparītena, dharma lobha parī
dharmalobhena, dharma lobha
dharmavacanaṁ, dharma vacana
dharmavacanaiḥ, dharma vacana
dharmavatīmavekṣāṁ, dharmavat avekṣā
dharmavatsam, dharma vatsa
dharmavatsalaḥ, dharma vatsala
dharmavatsalo, dharma vatsala
dharmavaraṁ, dharma vara
dharmavarjitaṁ, dharma varjay
dharmavallabho, dharma vallabha
dharmavaśavartī, dharma vaśa vartin
dharmavaśād, dharma vaśa
dharmavasiṣṭhau, dharma vasiṣṭha
dharmavāṁstapase, dharmavat tapas
dharmavāk, dharma vāc
dharmavāg, dharma vāc
dharmavāṇijakā, dharma vāṇijaka
dharmavādī, dharma vādin
dharmavāde, dharma vāda
dharmavādair, dharma vāda
dharmavādaistu, dharma vāda tu
dharmavāyuśakrair, dharma vāyu śakra
dharmavikalpanirdeśe, dharma vikalpa nirdeśa
dharmavikalpād, dharma vikalpa
dharmavighnaṁ, dharma vighna
dharmavighnamahaṁ, dharma vighna mad
dharmavijayī, dharma vijayin
dharmavijñānaniṣṭhāya, dharma vijñāna niṣṭhā
dharmavit, dharma vid
dharmavid, dharma vid
dharmavidaḥ, dharma vid
dharmavidaś, dharma vid
dharmavidas, dharma vid
dharmavidastyajanti, dharma vid tyaj
dharmavidā, dharma vid
dharmavidāṁ, dharma vid
dharmaviduṣo, dharma vidvas
dharmavido, dharma vid
dharmavidbhiḥ, dharma vid
dharmavidbhir, dharma vid
dharmavidbhiriti, dharma vid iti
dharmavidyābalenety, dharma vidyā bala iti
dharmavidyo, dharma vidyā
dharmavidveṣaṇasya, dharma vidveṣaṇa
dharmavidveṣiṇo, dharma vidveṣin
dharmavidhānena, dharma vidhāna
dharmavidhāvṛte, dharma vidhi ṛte
dharmavidhiṁ, dharma vidhi
dharmavidhiḥ, dharma vidhi
dharmavidhistāta, dharma vidhi tāta
dharmavidhīṁstatra, dharma vidhi tatra
dharmavidhestu, dharma vidhi tu
dharmavidhau, dharma vidhi
dharmavinayaṁ, dharma vinaya
dharmavinaye, dharma vinaya
dharmaviniścayajñaḥ, dharma viniścaya jña
dharmavinītaś, dharma vinī
dharmavibhāgajñaḥ, dharma vibhāga jña
dharmaviruddhaṁ, dharma virudh
dharmaviruddhasya, dharma virudh
dharmaviruddheṣu, dharma virudh
dharmaviruddhau, dharma virudh
dharmavirodhena, dharma virodha
dharmavilopena, dharma vilopa
dharmaviśeṣatarṣād, dharma viśeṣa tarṣa
dharmaviśeṣāṇām, dharma viśeṣa
dharmaviśeṣāpekṣāḥ, dharma viśeṣa apekṣā
dharmavihārī, dharma vihārin
dharmavihīnānāṁ, dharma vihā
dharmavīra, dharma vīra
dharmavīrasya, dharma vīra
dharmavīryaṁ, dharma vīrya
dharmavīryabalopetā, dharma vīrya bala upe
dharmavṛkṣasya, dharma vṛkṣa
dharmavṛttaṁ, dharma vṛt
dharmavṛttaḥ, dharma vṛt
dharmavṛttam, dharma vṛtta
dharmavṛttiḥ, dharma vṛtti
dharmavṛtto, dharma vṛt
dharmavṛttyā, dharma vṛtti
dharmavṛddhaṁ, dharma vṛdh
dharmavṛddhā, dharma vṛdh
dharmavṛddhir, dharma vṛddhi
dharmavṛddhiśca, dharma vṛddhi ca
dharmavṛddhistu, dharma vṛddhi tu
dharmavṛṣṭyā, dharma vṛṣṭi
dharmavegaprāptā, dharma vega prāp
dharmavettā, dharma vettṛ
dharmavelāyāṁ, dharma velā
dharmaveṣeṇa, dharma veṣa
dharmavaiyāvṛtyaṁ, dharma vaiyāvṛtya
dharmavyatikaro, dharma vyatikara
dharmavyatikramaṁ, dharma vyatikrama
dharmavyatikramaḥ, dharma vyatikrama
dharmavyapekṣāsu, dharma vyapekṣā
dharmavyapekṣe, dharma vyapekṣā
dharmavyavasthānaṁ, dharma vyavasthāna
dharmavyavasthānamasurāṇāṁ, dharma vyavasthāna asura
dharmavyavasthārthaṁ, dharma vyavasthā artha
dharmavyavahāracaritrasaṁsthānam, dharma vyavahāra caritra saṁsthāna
dharmavyavahāracaritrasaṁsthānasaṁkalananirvartanānumānacāraprayogair, dharma vyavahāra caritra saṁsthāna saṁkalana nirvartana anumāna cāra prayoga
dharmavyasanasaṁvartanīyaṁ, dharma vyasana saṁvṛt
dharmavyasanasaṁvartanīyena, dharma vyasana saṁvṛt
dharmavyasanasaṁvartanīyebhyaḥ, dharma vyasana saṁvṛt
dharmavyasanasaṁvartanīyaiḥ, dharma vyasana saṁvṛt
dharmavyādhapārśva, dharma vyādha pārśva
dharmavyucchittim, dharma vyucchitti
dharmavratam, dharma vrata
dharmavratopetā, dharma vrata upe
dharmaṣaḍbhāgaṁ, dharma ṣaḍbhāga
dharmaṣaḍbhāgo, dharma ṣaḍbhāga
dharmaśaktir, dharma śakti
dharmaśaktirdharmamayī, śakti śakti dharma maya
dharmaśaktyā, dharma śakti
dharmaśaṅkhaḥ, dharma śaṅkha
dharmaśatruṁ, dharma śatru
dharmaśabdaḥ, dharma śabda
dharmaśabdajyotistarkamīmāṁsādisamastaśāstranikaracāturyaṁ, dharma śabda jyotis tarka mīmāṁsā ādi samasta śāstra nikara cāturya
dharmaśaraṇo, dharma śaraṇa
dharmaśarīraprabhāvanā, dharma śarīra prabhāvanā
dharmaśāṭapraticchannaṁ, dharma śāṭa praticchad
dharmaśāṭapraticchanno, dharma śāṭa praticchad
dharmaśāstraṁ, dharma śāstra
dharmaśāstrakuśalo, dharma śāstra kuśala
dharmaśāstrajñaṁ, dharma śāstra jña
dharmaśāstrajñā, dharma śāstra jña
dharmaśāstrajñair, dharma śāstra jña
dharmaśāstrato, dharma śāstra
dharmaśāstraparaṁ, dharma śāstra para
dharmaśāstram, dharma śāstra
dharmaśāstrarathārūḍhā, dharma śāstra ratha āruh
dharmaśāstrarathārūḍhā, dharmaśāstra ratha āruh
dharmaśāstravicāreṇa, dharma śāstra vicāra
dharmaśāstravido, dharma śāstra vid
dharmaśāstravirodhe, dharmaśāstra virodha
dharmaśāstrasamāyuktāḥ, dharma śāstra samāyuj
dharmaśāstrasyāpyekasya, dharma śāstra api eka
dharmaśāstrāṇāṁ, dharma śāstra
dharmaśāstrāṇām, dharma śāstra
dharmaśāstrāṇi, dharma śāstra
dharmaśāstrāṇy, dharma śāstra
dharmaśāstrāṇyathāpi, dharmaśāstra atha api
dharmaśāstrātigo, dharma śāstra atiga
dharmaśāstrātmikā, dharmaśāstra ātmaka
dharmaśāstrānugamanaṁ, dharma śāstra anugamana
dharmaśāstrānusāreṇa, dharma śāstra anusāra
dharmaśāstrārthakuśalā, dharma śāstra artha kuśala
dharmaśāstrārthakuśalāḥ, dharma śāstra artha kuśala
dharmaśāstrārthakuśalair, dharma śāstra artha kuśala
dharmaśāstrārthaśāstrābhyām, dharmaśāstra arthaśāstra
dharmaśāstrārthaśāstre, dharma artha artha śāstra
dharmaśāstre, dharma śāstra
dharmaśāstreṇa, dharma śāstra
dharmaśāstreṣu, dharma śāstra
dharmaśāstreṣvanyeṣu, dharma śāstra anya
dharmaśāstroktaṁ, dharma śāstra vac
dharmaśāstroktam, dharma śāstra vac
dharmaśāstroktam, dharmaśāstra vac
dharmaśivo, dharma śiva
dharmaśīlaṁ, dharma śīla
dharmaśīlaḥ, dharma śīla
dharmaśīlavarṇāntāc, dharma śīla varṇa anta
dharmaśīlaś, dharma śīla
dharmaśīlasya, dharma śīla
dharmaśīlā, dharma śīla
dharmaśīlāṁ, dharma śīla
dharmaśīlāḥ, dharma śīla
dharmaśīlānāṁ, dharma śīla
dharmaśīlānāmnī, dharmaśīlā nāman
dharmaśīlābhyāṁ, dharma śīla
dharmaśīlāyā, dharma śīla
dharmaśīlāśca, dharma śīla ca
dharmaśīlena, dharma śīla
dharmaśīleṣu, dharma śīla
dharmaśīlo, dharma śīla
dharmaśīlaiśca, dharma śīla ca
dharmaśīlau, dharma śīla
dharmaśuddhā, dharma śudh
dharmaśuddhim, dharma śuddhi
dharmaśca, dharma ca
dharmaścatuṣpādaḥ, dharma catuṣpāda
dharmaścatuṣpādastvadharmaḥ, dharma catuṣpāda tu adharma
dharmaścarito, dharma car
dharmaścarya, dharma carya
dharmaścātmahitāni, dharma ca ātman hita
dharmaścātra, dharma ca atra
dharmaścādharmarūpo, dharma ca adharma rūpa
dharmaścāyaṁ, dharma ca idam
dharmaścārthaśca, dharma artha artha ca
dharmaścāśramiṇāṁ, dharma ca āśramin
dharmaścāstaṁ, dharma ca asta
dharmaścito, dharma ci
dharmaścintyatamo, dharma cintyatama
dharmaśceti, dharma ca iti
dharmaśced, dharma ced
dharmaścoktaḥ, dharma ca vac
dharmaścaikaḥ, dharma ca eka
dharmaścaikastrayaṁ, dharma ca eka traya
dharmaścaiva, dharma ca eva
dharmaścaivāśrayaḥ, dharma ca eva āśraya
dharmaścaiṣa, dharma ca etad
dharmaśramaparipīḍitāḥ, dharma śrama paripīḍay
dharmaśravaṇaṁ, dharma śravaṇa
dharmaśravaṇakathāṁ, dharma śravaṇa kathā
dharmaśravaṇābhiratā, dharma śravaṇa abhiram
dharmaśravaṇāya, dharma śravaṇa
dharmasaṁkaṭam, dharma saṁkaṭa
dharmasaṁkarakarī, dharma saṁkara kara
dharmasaṁkaram, dharma saṁkara
dharmasaṁkararakṣā, dharma saṁkara rakṣā
dharmasaṁkṣayamavāpya, dharma saṁkṣaya avāp
dharmasaṁghātātmā, dharma saṁghāta ātman
dharmasaṁcayaṁ, dharma saṁcaya
dharmasaṁjñāmabhiniryāṇavidhau, dharma saṁjñā abhiniryāṇa vidhi
dharmasaṁtatim, dharma saṁtati
dharmasaṁtānam, dharma saṁtāna
dharmasaṁtāne, dharma saṁtāna
dharmasaṁdehasaṁdigdhaṁ, dharma saṁdeha saṁdih
dharmasaṁpratyavekṣaṇatāyai, dharma saṁpratyavekṣaṇa tā
dharmasaṁbandhād, dharma sambandha
dharmasaṁmatam, dharma samman
dharmasaṁmattastamūcuratha, dharma tad atha vac sammad
dharmasaṁyuktaṁ, dharma saṁyuj
dharmasaṁyuktam, dharma saṁyuj
dharmasaṁyuktāṁ, dharma saṁyuj
dharmasaṁyukto, dharma saṁyuj
dharmasaṁrakṣaṇaṁ, dharma saṁrakṣaṇa
dharmasaṁrakṣaṇāya, dharma saṁrakṣaṇa
dharmasaṁrakṣaṇārtham, dharma saṁrakṣaṇa artha
dharmasaṁrakṣaṇārthāya, dharma saṁrakṣaṇa artha
dharmasaṁrambhī, dharma saṁrambhin
dharmasaṁvardhanārthāya, dharma saṁvardhana artha
dharmasaṁśayamokṣārthaṁ, dharma saṁśaya mokṣa artha
dharmasaṁśraye, dharma saṁśraya
dharmasaṁśritam, dharma saṁśri
dharmasaṁśleṣaṁ, dharma saṁśleṣa
dharmasaṁsādhane, dharma saṁsādhana
dharmasaṁsthāpanāya, dharma saṁsthāpana
dharmasaṁsthāpanārthaṁ, dharma saṁsthāpana artha
dharmasaṁsthāpanārthāya, dharma saṁsthāpana artha
dharmasaṁsthāpane, dharma saṁsthāpana
dharmasaṁhitaṁ, dharma saṁdhā
dharmasaṁhitayā, dharma saṁdhā
dharmasaṁhitā, dharma saṁhitā
dharmasaṅgācca, dharma saṅga ca
dharmasaṅgānāmapi, dharma saṅga api
dharmasatkāryaṁ, dharma satkṛ
dharmasatyamayaḥ, dharma satya maya
dharmasadane, dharma sadana
dharmasamayāt, dharma samaya
dharmasamācāro, dharma samācāra
dharmasamāyuktaḥ, dharma samāyuj
dharmasamāyuktāṁ, dharma samāyuj
dharmasamāyuktāvarthakāmau, dharma artha kāma samāyuj
dharmasamāyukto, dharma samāyuj
dharmasampannāḥ, dharma sampad
dharmasambandhaḥ, dharma sambandha
dharmasambandhinīṣu, dharma sambandhin
dharmasambhoga, dharma sambhoga
dharmasargaṁ, dharma sarga
dharmasarvasvaṁ, dharma sarvasva
dharmasahāyena, dharma sahāya
dharmasahāyo, dharma sahāya
dharmasahitaṁ, dharma sahita
dharmasahitā, dharma sahita
dharmasākṣī, dharma sākṣin
dharmasādhanaṁ, dharma sādhana
dharmasādhanabhāvo, dharma sādhana bhāva
dharmasādhanam, dharma sādhana
dharmasādhanānaṅgavacanapratiṣedhaḥ, dharma sādhana anaṅga vacana pratiṣedha
dharmasādhanāni, dharma sādhana
dharmasādhanāstitvamātrasādharmyād, dharma sādhana astitva mātra sādharmya
dharmasādhāraṇo, dharma sādhāraṇa
dharmasāmarthyātsmṛtāḥ, dharma sāmarthya smṛ
dharmasāmānya, dharma sāmānya
dharmasāraḥ, dharma sāra
dharmasāram, dharma sāra
dharmasiddhipradaṁ, dharma siddhi prada
dharmasiddhyarthaṁ, dharma siddhi artha
dharmasukhāḥ, dharma sukha
dharmasutaṁ, dharma suta
dharmasutaḥ, dharma suta
dharmasutaśca, dharmasuta ca
dharmasutaścintayan, dharmasuta cintay
dharmasuteneti, dharmasuta iti
dharmasutenokte, dharmasuta vac
dharmasuto, dharma suta
dharmasūkṣmaṁ, dharma sūkṣma
dharmasūkṣmāṇi, dharma sūkṣma
dharmasūkṣmārthatattvajñā, dharma sūkṣma artha tattva jña
dharmasūnurnidhirdhāmnāṁ, dharmasūnu nidhi dhāman
dharmasūnurniśamyaitad, dharmasūnu etad niśāmay
dharmasūnurniśamyaitadbhīṣmaṁ, dharmasūnu etad bhīṣma niśāmay
dharmasūnustato, dharmasūnu tatas
dharmasūnor, dharma sūnu
dharmasetum, dharma setu
dharmasetumato, dharma setu atas
dharmasetur, dharma setu
dharmasetusamākīrṇāṁ, dharma setu samākṛ
dharmasetūnāṁ, dharma setu
dharmasaukṣmyāt, dharma saukṣmya
dharmaskandhasahasrāṇi, dharma skandha sahasra
dharmastaṁ, dharma tad
dharmastataḥ, dharma tatas
dharmastato, dharma tatas
dharmastattvadarśināṁ, dharma tattva darśin
dharmastatrāpi, dharma tatra api
dharmastathā, dharma tathā
dharmastathādharmaḥ, dharma tathā adharma
dharmastathānantyāya, dharma tathā ānantya
dharmastathābhyudayiko, dharma tathā ābhyudayika
dharmastathārthaś, dharma tathā artha
dharmastathārthaśca, dharma tathā artha ca
dharmastathāhiṁsā, dharma tathā ahiṁsā
dharmastathaiva, dharma tathā eva
dharmastathaivārthaḥ, dharma tathā eva artha
dharmastathaivārtho, dharma tathā eva artha
dharmastathaivoṣṇaṁ, dharma tathā eva uṣṇa
dharmastadā, dharma tadā
dharmastanmayāḥ, dharma tad maya
dharmastanme, dharma tad mad
dharmastapaśca, dharma tapas ca
dharmastapaścāhaṁ, dharma tapas ca mad
dharmastapo, dharma tapas
dharmastam, dharma tad
dharmastarasā, dharma taras
dharmastava, dharma tvad
dharmastavābhipretaḥ, dharma tvad abhipre
dharmastavokto, dharma tvad vac
dharmastasmād, dharma tad
dharmastīkṣṇavartmā, dharma tīkṣṇa vartman
