Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
daṁś	Verb	1	Ā	daṣṭa			"Past Passive Participle"	"  190"
vitan	Verb	8	Ā	vitata			"Past Passive Participle"	"  189"
karśay	Verb	10	P.	karśita			"Past Passive Participle"	"  187"
kṣan	Verb	8	Ā	kṣata			"Past Passive Participle"	"  184"
prapad	Verb	4	P.	prapanna			"Past Passive Participle"	"  183"
saṁsṛj	Verb	6	Ā	saṃsṛṣṭa			"Past Passive Participle"	"  183"
vṛ	Verb	5	Ā	vṛta			"Past Passive Participle"	"  181"
udbhū	Verb	1	P.	udbhūta			"Past Passive Participle"	"  179"
viji	Verb	1	Ā	vijita			"Past Passive Participle"	"  179"
saṁśri	Verb	1	Ā	saṃśrita			"Past Passive Participle"	"  179"
prath	Verb	1	P.	prathita			"Past Passive Participle"	"  178"
avaśiṣ	Verb	7	P.	avaśiṣṭa			"Past Passive Participle"	"  178"
upaci	Verb	5	Ā	upacita			"Past Passive Participle"	"  178"
pradīp	Verb	4	Ā	pradīpta			"Past Passive Participle"	"  178"
samāvṛ	Verb	5	P.	samāvṛta			"Past Passive Participle"	"  178"
pravṛdh	Verb	1	Ā	pravṛddha			"Past Passive Participle"	"  177"
viṣad	Verb	1	Ā	viṣaṇṇa			"Past Passive Participle"	"  177"
yojay	Verb	10	Ā	yojita			"Past Passive Participle"	"  176"
car	Verb	1	Ā	carita			"Past Passive Participle"	"  175"
samutthā	Verb	1	Ā	samutthita			"Past Passive Participle"	"  174"
gras	Verb	1	Ā	grasta			"Past Passive Participle"	"  173"
āyā	Verb	2	Ā	āyāta			"Past Passive Participle"	"  173"
saṁhan	Verb	2	P.	saṃhata			"Past Passive Participle"	"  172"
arjay	Verb	10	Ā	arjita			"Past Passive Participle"	"  171"
majj	Verb	1	Ā	magna			"Past Passive Participle"	"  171"
āhṛ	Verb	1	Ā	āhṛta			"Past Passive Participle"	"  171"
vinaś	Verb	4	Ā	vinaṣṭa			"Past Passive Participle"	"  171"
yat	Verb	1	P.	yatta			"Past Passive Participle"	"  170"
lag	Verb	1	P.	lagna			"Past Passive Participle"	"  170"
veṣṭay	Verb	10	Ā	veṣṭita			"Past Passive Participle"	"  169"
āsañj	Verb	1	Ā	āsakta			"Past Passive Participle"	"  169"
preṣay	Verb	10	Ā	preṣita			"Past Passive Participle"	"  169"
niyuj	Verb	7	Ā	niyukta			"Past Passive Participle"	"  168"
pratī	Verb	2	P.	pratīta			"Past Passive Participle"	"  168"
dūṣay	Verb	10	Ā	dūṣita			"Past Passive Participle"	"  167"
avatṛ	Verb	6	P.	avatīrṇa			"Past Passive Participle"	"  167"
ādhā	Verb	3	Ā	āhita			"Past Passive Participle"	"  166"
puṭ	Verb	6	P.	puṭita			"Past Passive Participle"	"  166"
kāray	Verb	10	Ā	kārita			"Past Passive Participle"	"  164"
apahṛ	Verb	1	Ā	apahṛta			"Past Passive Participle"	"  164"
udvij	Verb	6	P.	udvigna			"Past Passive Participle"	"  164"
aṅkay	Verb	10	P.	aṅkita			"Past Passive Participle"	"  163"
upadiś	Verb	6	Ā	upadiṣṭa			"Past Passive Participle"	"  162"
atikram	Verb	6	P.	atikrānta			"Past Passive Participle"	"  161"
vikram	Verb	1	Ā	vikrānta			"Past Passive Participle"	"  161"
puraskṛ	Verb	8	Ā	puraskṛta			"Past Passive Participle"	"  160"
sambhṛ	Verb	3	Ā	saṃbhṛta			"Past Passive Participle"	"  160"
parivāray	Verb	10	Ā	parivārita			"Past Passive Participle"	"  160"
ākram	Verb	6	P.	ākrānta			"Past Passive Participle"	"  159"
vijñā	Verb	9	Ā	vijñāta			"Past Passive Participle"	"  158"
anurañj	Verb	4	Ā	anurakta			"Past Passive Participle"	"  157"
ānī	Verb	1	Ā	ānīta			"Past Passive Participle"	"  157"
paripṛ	Verb	9	P.	paripūrṇa			"Past Passive Participle"	"  156"
prasvap	Verb	2	Ā	prasupta			"Past Passive Participle"	"  155"
visṛj	Verb	4	Ā	visṛṣṭa			"Past Passive Participle"	"  155"
pūray	Verb	10	Ā	pūrita			"Past Passive Participle"	"  154"
lī	Verb	1	Ā	līna			"Past Passive Participle"	"  154"
racay	Verb	10	Ā	racita			"Past Passive Participle"	"  154"
miśray	Denom.	0	P.	miśrita			"Past Passive Participle"	"  154"
śri	Verb	1	Ā	śrita			"Past Passive Participle"	"  153"
abhiṣic	Verb	4	P.	abhiṣikta			"Past Passive Participle"	"  152"
paryāp	Verb	5	Ā	paryāpta			"Past Passive Participle"	"  152"
prabudh	Verb	4	P.	prabuddha			"Past Passive Participle"	"  152"
tāḍay	Verb	10	Ā	tāḍita			"Past Passive Participle"	"  151"
pramad	Verb	4	Ā	pramatta			"Past Passive Participle"	"  151"
upasaṁkram	Verb	1	Ā	upasaṃkrānta			"Past Passive Participle"	"  149"
upagam	Verb	6	P.	upagata			"Past Passive Participle"	"  148"
pracchad	Verb	1	P.	pracchanna			"Past Passive Participle"	"  148"
ci	Verb	1	Ā	cita			"Past Passive Participle"	"  147"
sic	Verb	4	Ā	sikta			"Past Passive Participle"	"  147"
ape	Verb	2	Ā	apeta			"Past Passive Participle"	"  147"
praṇī	Verb	1	Ā	praṇīta			"Past Passive Participle"	"  147"
tan	Verb	8	Ā	tata			"Past Passive Participle"	"  146"
guṇay	Denom.	0	P.	guṇita			"Past Passive Participle"	"  146"
stambh	Verb	5	P.	stabdha			"Past Passive Participle"	"  145"
